EH31(29)	EH31(29)
EH127(4)	EH127(4)
EH2(71)	EH2(71)
EH2(71)	EH4(67)
EH2(71)	EH14(48)
EH32(29)	EH32(29)
EH96(11)	EH96(11)
EH128(4)	EH128(4)
EH97(11)	EH97(11)
EH129(3)	EH129(3)
CalB(68)	CalB(68)
EH66(19)	EH66(19)
EH98(11)	EH98(11)
EH130(2)	EH130(2)
EH131(2)	EH131(2)
EH68(18)	EH68(18)
EH100(11)	EH100(11)
EH132(2)	EH132(2)
EH101(11)	EH101(11)
EH101(11)	EH113(8)
EH133(2)	EH133(2)
EH38(28)	EH38(28)
EH70(18)	EH70(18)
EH102(10)	EH102(10)
EH134(2)	EH134(2)
EH134(2)	EH135(2)
EH71(18)	EH71(18)
EH103(10)	EH103(10)
EH40(27)	EH40(27)
EH72(18)	EH72(18)
EH104(10)	EH104(10)
EH104(10)	EH65(20)
EH104(10)	EH81(14)
EH104(10)	EH114(8)
EH104(10)	EH55(21)
EH104(10)	EH56(21)
EH136(2)	EH136(2)
EH41(27)	EH41(27)
EH73(17)	EH73(17)
EH105(10)	EH105(10)
EH137(2)	EH137(2)
EH42(27)	EH42(27)
EH74(17)	EH74(17)
EH74(17)	EH58(21)
EH106(9)	EH106(9)
EH138(2)	EH138(2)
EH75(16)	EH75(16)
EH107(9)	EH107(9)
EH139(2)	EH139(2)
EH44(25)	EH44(25)
EH76(16)	EH76(16)
EH108(9)	EH108(9)
EH140(1)	EH140(1)
EH45(24)	EH45(24)
EH77(16)	EH77(16)
EH109(9)	EH109(9)
EH109(9)	EH123(4)
EH46(23)	EH46(23)
EH78(15)	EH78(15)
EH78(15)	EH24(34)
EH110(8)	EH110(8)
EH142(1)	EH142(1)
EH47(23)	EH47(23)
EH111(8)	EH111(8)
EH143(1)	EH143(1)
EH80(14)	EH80(14)
EH144(1)	EH144(1)
EH18(38)	EH18(38)
EH18(38)	EH3(69)
EH49(23)	EH49(23)
EH82(14)	EH82(14)
EH51(22)	EH51(22)
EH83(14)	EH83(14)
EH115(8)	EH115(8)
EH84(13)	EH84(13)
EH84(13)	EH64(20)
EH84(13)	EH112(8)
EH84(13)	EH20(37)
EH84(13)	EH93(12)
EH116(7)	EH116(7)
EH116(7)	EH145(1)
CalA(36)	CalA(36)
EH53(21)	EH53(21)
EH117(6)	EH117(6)
EH118(6)	EH118(6)
EH23(34)	EH23(34)
EH87(13)	EH87(13)
EH87(13)	EH67(18)
EH87(13)	EH39(28)
EH87(13)	EH43(27)
EH87(13)	EH15(42)
EH87(13)	EH48(23)
EH87(13)	EH52(21)
EH119(6)	EH119(6)
EH88(13)	EH88(13)
EH120(5)	EH120(5)
EH25(33)	EH25(33)
EH25(33)	EH79(14)
EH57(21)	EH57(21)
EH89(13)	EH89(13)
EH26(32)	EH26(32)
EH90(13)	EH90(13)
EH122(5)	EH122(5)
EH27(32)	EH27(32)
EH27(32)	EH95(11)
EH27(32)	EH69(18)
EH27(32)	EH7(64)
EH27(32)	EH141(1)
EH27(32)	EH124(4)
EH91(13)	EH91(13)
EH28(31)	EH28(31)
EH92(12)	EH92(12)
EH29(31)	EH29(31)
EH29(31)	EH1(72)
EH29(31)	EH35(29)
EH29(31)	EH99(11)
EH29(31)	EH5(67)
EH29(31)	EH6(66)
EH29(31)	EH37(28)
EH29(31)	EH8(63)
EH29(31)	EH9(61)
EH29(31)	EH10(58)
EH29(31)	EH11(53)
EH29(31)	EH12(51)
EH29(31)	EH13(49)
EH29(31)	EH16(42)
EH29(31)	EH21(36)
EH29(31)	EH22(35)
EH29(31)	EH54(21)
EH29(31)	EH86(13)
EH61(20)	EH61(20)
EH61(20)	EH34(29)
EH61(20)	EH85(13)
EH61(20)	EH59(21)
EH61(20)	EH30(30)
EH125(4)	EH125(4)
EH125(4)	EH121(5)
EH62(20)	EH62(20)
EH62(20)	EH63(20)
EH62(20)	EH33(29)
EH62(20)	EH36(28)
EH62(20)	EH17(39)
EH62(20)	EH19(37)
EH62(20)	EH50(22)
EH62(20)	EH60(21)
EH94(12)	EH94(12)
EH126(4)	EH126(4)
